Location,Longitude,Latitude
CRISP ELECTRIC MAINT INC,-82.78779122,27.943395559805698
SUNOCO SERVICE STATION,-82.7290891,27.98290437646223
7-ELEVEN STORE #27080,-82.75313224,27.96089581477713
LEE SISSON LURES INC,-81.79653619,28.06176433426666
MCGEE AUTO SERVICE & TIRE,-81.73142664,28.00371332168684
ALMEGA ENTERPRISES INC,-81.89023438,28.007329457506366
KISSIMMEE UTILITY AUTHORITY,-81.41823956,28.33098913094104
MOTOR PARTS,-81.97573129,27.894600733618784
SATURN OF LAKELAND,-81.9758661,28.054122661375214
BUDGET AUTO PARTS,-81.80847642,28.05096086
ECONO AUTO PAINTING,-81.98447916,28.05423366142751
SHRED-IT,-81.60837629,30.260430031859677
CIRCLE K #4015,-82.82017276,27.851308730720866
CIRCLE K #7101,-82.74516974,27.901112022326892
CIRCLE K STORE #4917,-82.72823343,27.84675192621627
CIRCLE K #4007,-82.70844643,28.014144412354124
CIRCLE K #4618,-82.77129136,28.022857190768395
SEARS SERVICE CENTER,-82.7548709,27.813870334940177
BROWNS AUTOMOTIVE INC,-82.63815543,27.78736935858776
BRADSON SUPPLY INC,-82.68107672,27.80878808486384
FOTOMAT CORP,-82.64629423,27.773800243932417
SPA MANUFACTURERS INC,-82.71896776,27.892313854122175
SIGN INSTALLATION & SERVICE INC,-82.71268703,27.915049860092434
COMMERCIAL TANK LINES,-81.98493457,27.901479374310192
AUBURNDALE SELF STORAGE,-81.82480475,28.033800493145076
GOODYEAR AUTO SERVICE CENTER,-81.58723054,27.893246603441536
BOBS AUTO & MUFFLER SHOP,-81.62264372,28.106426460318573
WESTERN AUTO,-81.95763154,28.004503677409243
KEY BROTHERS RADIATORS,-81.90709364,28.023554155631114
CUMBERLAND FARMS #1069,-81.97838491,28.065241137454024
LAXMI TWO LLC,-81.78003743,27.958077170463827
HOODS AUTOMOTIVE CENTER,-81.95669107,28.006614983380842
CUMBERLAND FARMS #1081,-81.88119368,27.967722365443674
CUMBERLAND FARMS #1005,-81.97748465,27.89461956702525
CUMBERLAND FARMS #1068,-81.58907579,27.914048219841032
GREENWOOD CHEVROLET OLDS,-81.80194099,27.754602536709108
CENTRAL FLORIDA DRUM INC,-81.72748967,27.988610845592305
CENTRAL PONTIAC BUICK GMC INC,-81.72719117,28.006363572271805
