Location,Longitude,Latitude
NASA KENNEDY SPACE CENTER,-80.64694320718495,28.522781540834767
AURORA PRECISION METALS,-82.21777179065563,29.18420352935326
PLEASANT GROVE LANDFILL,-82.16805321749555,27.935003012434642
FOLEY'S DRY CLEANING,-80.92547174150377,29.022013529085193
AJAX CHEMICAL,-80.30166879644328,25.798337206518916
MCLEOD ROAD MERCURY SPILL,-81.4338478358689,28.508540470151928
DIXIE SOUTHERN INDUSTRIAL INC,-81.81394563637775,28.083930408691536
CABOT/KOPPERS,-82.32306274397692,29.67500300667946
ROME AVENUE DRUM,-82.47696096802262,27.952029702072263
CARMICHAEL DUMP,-82.3800887370272,27.819973640184728
PROSPECT ROAD CATTLE DIP VAT,-82.54299977124725,27.4013044426214
WINTERHAVEN MERCURY CLEAN-UP,-81.6890168264234,27.98353232465126
MANASOTA PLATING,-82.53324280799852,27.38754551009931
FLORIDA DEP DSCP SITE ID ERIC_4733,-82.36181784987515,27.962210115590228
"MONTCO RESEARCH PRODUCTS, INC.",-81.79305591963463,29.668613085028984
"ORLANDO SENTINEL COMMUNICATIONS CO., LLC",-81.37918899424781,28.551993439348937
TAYLOR ROAD LANDFILL,-82.2930484254887,28.00972168363189
SUNNILAND CORP,-81.26666620845295,28.801670210522623
PIPER AIRCRAFT CORP./VERO BEACH WATER & SEWER DEPARTMENT,-80.41555329735053,27.647502598294004
BORDEN CHEM CO/ TENORIC MINE,-81.79499661601771,28.061669333909727
JOINER FILL DIRT CONSTRUCTION & DEMOLITION LANDFILL,-87.04651986166253,30.654670998621484
ANGELICA TEXTILES,-82.6952503035158,27.99649333998066
SOUTH CENTRAL AVE PCE PLUME,-81.97399617940147,28.03892332858212
MARGATE FRENCH CLEANERS,-80.22764073418477,26.2402538694696
NEW BEGINNINGS CUSTOM CHROME,-83.58771219282954,30.142953184707366
CRYSTAL LAKE CLEANERS,-81.34354194691038,28.52556841312154
"LEAD ENTERPRISES, INC.",-80.25062280749,25.802890098802557
CITRA CSX DERAILMENT,-82.10325111339272,29.389822863916454
FLORIDA SMELTING COMPANY-BERMAN BROS,-81.64333044041831,30.35487365735647
MORRIS BRIDGE LANDFILL,-82.34999952184175,28.05833628448
KENCO CHEMICAL COMPANY,-81.68272666756214,30.33541318578223
"TURBO POWER, INC.",-80.3169456845548,25.831671239225212
TIFTON PROPERTY SITE,-81.9822561630803,28.039333374263567
ORLANDO GASIFICATION PLANT,-81.38666597755257,28.54583644406178
ALAFAYA TRAIL MERCURY SPILL,-81.20794908721611,28.644013259817356
USA DFSP LYNN HAVEN,-85.66963331934771,30.248078777305793
US DOD NRL UNDERWTR SOUND REF. DETACHMNT,-81.36724000509021,28.49439225005916
KASSAUF-KIMERLING BATTERY DISPOSAL,-82.3899991367013,27.967222241661695
USCG SECTOR ST PETERSBURG,-82.62651787690922,27.761938688428344
AMERICAN ELECTRIC CORP,-81.74333755332668,30.318889641760013
VARSOL SPILL,-80.2772017886219,25.804704155093823
"SOUTHERN SOLVENTS, INC.",-82.5102783714327,28.040559712606985
INTERSIL CORP,-80.60138762440492,28.030284712951506
KLONDIKE LANDFILL,-87.34972632541384,30.48222460369972
"COMBINED ROOF SERVICE, INC. FACILITY",-80.1686108511661,26.20913372502604
LANDIA CHEMICAL COMPANY,-81.97916317024877,28.039447356248584
AIRCO PLATING CO.,-80.25590176744215,25.815204113429267
CALLAWAY DRUM RECYCLING,-81.81825664443014,28.089802426323196
OWENS AVENUE LANDFILL,-81.70754142654145,30.385405979456927
CULBERTSON PLASTICS DRUM SITE,-80.27280152243478,25.892194165659145
STEWARDSHIP DRYCLEANERS,-84.28343254779267,30.40991321320312
JACKSON ATOMICS,-81.68907569940858,30.322932840945846
FORMER ARMOUR FERTILIZER AND CHEMICAL WORKS,-81.62813043301199,30.345283645737204
DORAL FLORIDA FACILITY FIRE,-80.35581065060553,25.83558531501571
TECHNITRONICS GROUNDWATER PLUME,-81.31655418573544,28.675403339935848
OCALA FOREST MYSTERY SPILL,-81.3651802951543,29.007943208737373
301 PLAZA LAUNDROMAT,-82.12423163579507,29.22197857502998
KAY LARKIN AIRPORT,-81.68502065313939,29.663613288450325
BARTOW CITY LANDFILL,-81.83499662966565,27.896670002081134
USN NAVAL AIR STA MAYPORT,-81.65666746591111,30.33000364102273
WEST FLORIDA NATURAL GAS COMPANY,-82.1341908994443,29.195683339255265
"NITRAM, INC",-82.39444106992666,27.910926420308787
AAA RADIATOR SERVICE INC.,-80.1597504917674,25.918593817654124
